population	study_id
Aboisso_gambiae_PM	1245-VO-CI-CONSTANT-VMF00054
Avrankou_coluzzii_Delta	1237-VO-BJ-DJOGBENOU-VMF00050
Baguida_gambiae_Delta	1253-VO-TG-DJOGBENOU-VMF00052
Baguida_gambiae_PM	1253-VO-TG-DJOGBENOU-VMF00052
Korle-Bu_coluzzii_Delta	1244-VO-GH-YAWSON-VMF00051
Korle-Bu_coluzzii_PM	1244-VO-GH-YAWSON-VMF00051
Madina_gambiae_Delta	1244-VO-GH-YAWSON-VMF00051
Madina_gambiae_PM	1244-VO-GH-YAWSON-VMF00051
Obuasi_gambiae_Delta	1244-VO-GH-YAWSON-VMF00051
Obuasi_gambiae_PM	1244-VO-GH-YAWSON-VMF00051

